commentId,documentId,agencyId,year,max_cosine,min_edit_distance,max_lcs,max_lcs_pct,comment_length,polarity,n_all_comments,n_doc_dupe_comments,pct_doc_dupe_comments,n_gt90,pct_gt90,all_tokens,unique_tokens,rare_tokens,pct_rare_tokens,form_letter
FNS-2019-0034-0066,FNS-2019-0034-0061,FNS,2020,0.44090667080012,156,93,0.372,776,0.8571428571428571,88,0,0,2,0.05714285714285714,70,47,2,0.02857142857142857,n
FNS-2019-0034-0069,FNS-2019-0034-0061,FNS,2020,0.30931323088319,175,40,0.16,722,0.25,88,0,0,2,0.05714285714285714,62,54,6,0.0967741935483871,n
FNS-2019-0034-0070,FNS-2019-0034-0061,FNS,2020,0.21684521928613,176,32,0.128,1233,0.5294117647058824,88,0,0,2,0.05714285714285714,107,94,11,0.102803738317757,n
FNS-2019-0034-0071,FNS-2019-0034-0061,FNS,2020,0.20824191173663,178,17,0.068,593,0.7142857142857143,88,0,0,2,0.05714285714285714,46,42,3,0.06521739130434782,n
FNS-2019-0034-0072,FNS-2019-0034-0061,FNS,2020,0.26687878151706,179,15,0.06,3927,0.375,88,0,0,2,0.05714285714285714,319,219,48,0.15047021943573669,n
FNS-2019-0034-0075,FNS-2019-0034-0061,FNS,2020,0.44090667080012,143,24,0.096,471,0.6363636363636364,88,0,0,2,0.05714285714285714,42,36,4,0.09523809523809523,n
FNS-2019-0034-0076,FNS-2019-0034-0061,FNS,2020,0.3878820684489,175,33,0.132,605,0.7142857142857143,88,0,0,2,0.05714285714285714,53,41,4,0.07547169811320754,n
FNS-2019-0034-0077,FNS-2019-0034-0061,FNS,2020,0.35319345220627,178,24,0.096,398,1,88,0,0,2,0.05714285714285714,35,33,5,0.14285714285714285,n
FNS-2019-0034-0078,FNS-2019-0034-0061,FNS,2020,0.93330190352144,60,136,0.544,4989,0.8148148148148148,88,0,0,2,0.05714285714285714,471,273,81,0.17197452229299362,y
FNS-2019-0034-0079,FNS-2019-0034-0061,FNS,2020,0.18828565932594,191,17,0.068,296,1,88,0,0,2,0.05714285714285714,29,27,7,0.2413793103448276,n
FNS-2019-0034-0080,FNS-2019-0034-0061,FNS,2020,0.34220337407607,190,23,0.092,1108,0.5,88,0,0,2,0.05714285714285714,99,75,14,0.1414141414141414,n
FNS-2019-0034-0081,FNS-2019-0034-0061,FNS,2020,0.2316706431239,160,45,0.18,944,0.5789473684210527,88,0,0,2,0.05714285714285714,81,61,7,0.08641975308641975,n
FNS-2019-0034-0083,FNS-2019-0034-0061,FNS,2020,0.22684950690148,186,14,0.056,544,0.6,88,0,0,2,0.05714285714285714,47,39,5,0.10638297872340426,n
FNS-2019-0034-0084,FNS-2019-0034-0061,FNS,2020,0.22684950690148,183,25,0.1,428,0.7142857142857143,88,0,0,2,0.05714285714285714,39,37,5,0.1282051282051282,n
FNS-2019-0034-0087,FNS-2019-0034-0061,FNS,2020,0.27707760094935,172,36,0.144,549,0.42857142857142855,88,0,0,2,0.05714285714285714,46,39,7,0.15217391304347827,n
FNS-2019-0034-0089,FNS-2019-0034-0061,FNS,2020,0.59247438250279,190,18,0.072,4941,0.7777777777777778,88,0,0,2,0.05714285714285714,447,274,86,0.19239373601789708,n
FNS-2019-0034-0090,FNS-2019-0034-0061,FNS,2020,0.93330190352144,60,136,0.544,4752,0.7083333333333334,88,0,0,2,0.05714285714285714,457,246,69,0.15098468271334792,y
FNS-2019-0034-0092,FNS-2019-0034-0061,FNS,2020,0.48828643421645,186,18,0.072,867,0.3333333333333333,88,0,0,2,0.05714285714285714,81,63,12,0.14814814814814814,n
